,PacketTime,X,Y,NormalPressure,DeltaT,DistJump,Velocity,PressurePrev,PressureCurr,IsBoundary,Trial
198,1540975326,3792,24834,17143,5.0,20.615528128088304,4123.105625617661,17127.0,17143,False,0
199,1540975331,3796,24853,17127,5.0,19.4164878389476,3883.2975677895197,17143.0,17127,False,0
200,1540975336,3800,24872,17031,5.0,19.4164878389476,3883.2975677895197,17127.0,17031,False,0
201,1540975341,3805,24890,16999,5.0,18.681541692269406,3736.308338453881,17031.0,16999,False,0
202,1540975346,3810,24905,16967,5.0,15.811388300841896,3162.277660168379,16999.0,16967,False,0
203,1540975351,3815,24918,16903,5.0,13.92838827718412,2785.677655436824,16967.0,16903,False,0
204,1540975356,3818,24928,16791,5.0,10.44030650891055,2088.06130178211,16903.0,16791,False,0
205,1540975361,3820,24936,16759,5.0,8.246211251235321,1649.2422502470642,16791.0,16759,False,0
206,1540975366,3822,24939,16711,5.0,3.605551275463989,721.1102550927978,16759.0,16711,False,0
207,1540975371,3823,24941,16567,5.0,2.23606797749979,447.21359549995793,16711.0,16567,False,0
208,1540975376,3824,24942,16455,5.0,1.4142135623730951,282.842712474619,16567.0,16455,False,0
209,1540975381,3825,24942,16391,5.0,1.0,200.0,16455.0,16391,False,0
210,1540975386,3825,24942,16359,5.0,0.0,0.0,16391.0,16359,False,0
211,1540975391,3825,24942,16279,5.0,0.0,0.0,16359.0,16279,False,0
212,1540975396,3825,24942,16167,5.0,0.0,0.0,16279.0,16167,False,0
213,1540975401,3825,24942,16103,5.0,0.0,0.0,16167.0,16103,False,0
214,1540975406,3825,24935,16039,5.0,7.0,1400.0,16103.0,16039,False,0
215,1540975411,3825,24926,16039,5.0,9.0,1800.0,16039.0,16039,False,0
216,1540975416,3825,24913,16055,5.0,13.0,2600.0,16039.0,16055,False,0
217,1540975421,3824,24896,16215,5.0,17.029386365926403,3405.8772731852805,16055.0,16215,False,0
218,1540975426,3819,24875,16279,5.0,21.587033144922902,4317.4066289845805,16215.0,16279,False,0
219,1540975431,3814,24850,16279,5.0,25.495097567963924,5099.019513592785,16279.0,16279,False,0
220,1540975436,3808,24823,16343,5.0,27.65863337187866,5531.726674375732,16279.0,16343,False,0
221,1540975441,3801,24796,16439,5.0,27.892651361962706,5578.530272392541,16343.0,16439,False,0
222,1540975446,3795,24770,16567,5.0,26.68332812825267,5336.665625650534,16439.0,16567,False,0
223,1540975451,3790,24747,16567,5.0,23.53720459187964,4707.440918375928,16567.0,16567,False,0
224,1540975455,3786,24723,16551,4.0,24.331050121192877,6082.76253029822,16567.0,16551,False,0
225,1540975460,3784,24699,16551,5.0,24.08318915758459,4816.637831516919,16551.0,16551,False,0
226,1540975465,3782,24674,16679,5.0,25.079872407968907,5015.974481593781,16551.0,16679,False,0
227,1540975470,3782,24650,16711,5.0,24.0,4800.0,16679.0,16711,False,0
228,1540975475,3782,24628,16711,5.0,22.0,4400.0,16711.0,16711,False,0
