PacketTime,X,Y,NormalPressure,DeltaT,DistJump,PressurePrev,PressureCurr,NewTrial,Trial,segment_id,segment_label,letter_id,letter_label
270218455,37458,12385,7331,5.0,80.65358020571685,6883.0,7331,False,25,-1,,-1,
270218460,37446,12374,7763,5.0,16.278820596099706,7331.0,7763,False,25,-1,,-1,
270218465,37434,12360,8211,5.0,18.439088914585774,7763.0,8211,False,25,-1,,-1,
270218470,37422,12344,8579,5.0,20.0,8211.0,8579,False,25,-1,,-1,
270218475,37409,12325,8723,5.0,23.021728866442675,8579.0,8723,False,25,-1,,-1,
270218480,37398,12305,9028,5.0,22.825424421026653,8723.0,9028,False,25,-1,,-1,
270218485,37390,12284,9588,5.0,22.47220505424423,9028.0,9588,False,25,-1,,-1,
270218490,37382,12261,9780,5.0,24.351591323771842,9588.0,9780,False,25,-1,,-1,
270218495,37376,12235,9988,5.0,26.68332812825267,9780.0,9988,False,25,-1,,-1,
270218499,37371,12207,10148,4.0,28.442925306655784,9988.0,10148,False,25,-1,,-1,
270218504,37367,12177,10596,5.0,30.265491900843113,10148.0,10596,False,25,-1,,-1,
270218509,37366,12145,10740,5.0,32.01562118716424,10596.0,10740,False,25,-1,,-1,
270218514,37366,12113,10788,5.0,32.0,10740.0,10788,False,25,-1,,-1,
270218519,37366,12080,10868,5.0,33.0,10788.0,10868,False,25,-1,,-1,
270218524,37374,12049,10916,5.0,32.01562118716424,10868.0,10916,False,25,-1,,-1,
270218529,37383,12020,10981,5.0,30.364452901377952,10916.0,10981,False,25,-1,,-1,
270218534,37395,11994,10981,5.0,28.635642126552707,10981.0,10981,False,25,-1,,-1,
270218539,37409,11972,10916,5.0,26.076809620810597,10981.0,10916,False,25,-1,,-1,
270218544,37425,11954,10900,5.0,24.08318915758459,10916.0,10900,False,25,-1,,-1,
270218549,37444,11938,10868,5.0,24.839484696748443,10900.0,10868,False,25,-1,,-1,
270218554,37465,11925,10852,5.0,24.698178070456937,10868.0,10852,False,25,-1,,-1,
270218559,37489,11914,10772,5.0,26.40075756488817,10852.0,10772,False,25,-1,,-1,
270218564,37515,11906,10692,5.0,27.202941017470888,10772.0,10692,False,25,-1,,-1,
270218569,37544,11902,10596,5.0,29.274562336608895,10692.0,10596,False,25,-1,,-1,
270218574,37574,11900,10452,5.0,30.066592756745816,10596.0,10452,False,25,-1,,-1,
270218579,37606,11900,10244,5.0,32.0,10452.0,10244,False,25,-1,,-1,
270218584,37638,11900,9972,5.0,32.0,10244.0,9972,False,25,-1,,-1,
270218589,37670,11900,9892,5.0,32.0,9972.0,9892,False,25,-1,,-1,
270218594,37702,11900,9796,5.0,32.0,9892.0,9796,False,25,-1,,-1,
270218599,37733,11901,9732,5.0,31.016124838541646,9796.0,9732,False,25,-1,,-1,
270218604,37764,11902,9524,5.0,31.016124838541646,9732.0,9524,False,25,-1,,-1,
270218609,37793,11903,9348,5.0,29.017236257093817,9524.0,9348,False,25,-1,,-1,
270218614,37819,11904,9332,5.0,26.019223662515376,9348.0,9332,False,25,-1,,-1,
270218619,37842,11904,9284,5.0,23.0,9332.0,9284,False,25,-1,,-1,
270218624,37862,11905,9252,5.0,20.024984394500787,9284.0,9252,False,25,-1,,-1,
270218629,37879,11905,9252,5.0,17.0,9252.0,9252,False,25,-1,,-1,
270218634,37891,11905,9300,5.0,12.0,9252.0,9300,False,25,-1,,-1,
270218639,37900,11905,9332,5.0,9.0,9300.0,9332,False,25,-1,,-1,
270218644,37905,11905,9380,5.0,5.0,9332.0,9380,False,25,-1,,-1,
270218649,37908,11905,9492,5.0,3.0,9380.0,9492,False,25,-1,,-1,
270218654,37908,11905,9620,5.0,0.0,9492.0,9620,False,25,-1,,-1,
270218659,37908,11905,9812,5.0,0.0,9620.0,9812,False,25,-1,,-1,
270218664,37908,11902,10020,5.0,3.0,9812.0,10020,False,25,-1,,-1,
270218668,37903,11899,10324,4.0,5.830951894845301,10020.0,10324,False,25,-1,,-1,
270218673,37891,11895,10740,5.0,12.649110640673518,10324.0,10740,False,25,-1,,-1,
270218678,37872,11889,11013,5.0,19.924858845171276,10740.0,11013,False,25,-1,,-1,
270218683,37844,11883,11253,5.0,28.635642126552707,11013.0,11253,False,25,-1,,-1,
270218688,37807,11875,11685,5.0,37.8549864614954,11253.0,11685,False,25,-1,,-1,
270218693,37758,11866,12229,5.0,49.8196748283246,11685.0,12229,False,25,-1,,-1,
270218698,37699,11854,12341,5.0,60.207972893961475,12229.0,12341,False,25,-1,,-1,
270218703,37630,11839,12677,5.0,70.61161377563892,12341.0,12677,False,25,-1,,-1,
270218708,37551,11822,12677,5.0,80.8084154033477,12677.0,12677,False,25,-1,,-1,
270218713,37462,11802,13029,5.0,91.21951545584969,12677.0,13029,False,25,-1,,-1,
270218718,37368,11781,12613,5.0,96.317184344228,13029.0,12613,False,25,-1,,-1,
270218723,37273,11758,12613,5.0,97.74456506629922,12613.0,12613,False,25,-1,,-1,
270218728,37181,11737,12021,5.0,94.36630754670864,12613.0,12021,False,25,-1,,-1,
270218733,37100,11719,11989,5.0,82.97590011563598,12021.0,11989,False,25,-1,,-1,
270218738,37034,11706,12021,5.0,67.26812023536856,11989.0,12021,False,25,-1,,-1,
270218743,36985,11698,12197,5.0,49.64876634922564,12021.0,12197,False,25,-1,,-1,
270218748,36950,11694,12197,5.0,35.22782990761707,12197.0,12197,False,25,-1,,-1,
270218753,36925,11694,11957,5.0,25.0,12197.0,11957,False,25,-1,,-1,
270218758,36908,11694,11605,5.0,17.0,11957.0,11605,False,25,-1,,-1,
270218763,36895,11695,11109,5.0,13.038404810405298,11605.0,11109,False,25,-1,,-1,
270218768,36886,11700,10484,5.0,10.295630140987,11109.0,10484,False,25,-1,,-1,
270218773,36879,11705,9092,5.0,8.602325267042627,10484.0,9092,False,25,-1,,-1,
270218778,36876,11712,7219,5.0,7.615773105863909,9092.0,7219,False,25,-1,,-1,
270218783,36874,11717,4706,5.0,5.385164807134504,7219.0,4706,False,25,-1,,-1,
270218788,36874,11726,1440,5.0,9.0,4706.0,1440,False,25,-1,,-1,
270218793,36874,11726,0,5.0,0.0,1440.0,0,False,25,-1,,-1,
270218798,36874,11743,0,5.0,17.0,0.0,0,False,25,-1,,-1,
270218803,36875,11753,0,5.0,10.04987562112089,0.0,0,False,25,-1,,-1,
270218808,36880,11760,0,5.0,8.602325267042627,0.0,0,False,25,-1,,-1,
270218813,36887,11768,0,5.0,10.63014581273465,0.0,0,False,25,-1,,-1,
270218818,36896,11776,0,5.0,12.041594578792296,0.0,0,False,25,-1,,-1,
270218823,36908,11779,0,5.0,12.36931687685298,0.0,0,False,25,-1,,-1,
270218828,36922,11782,0,5.0,14.317821063276353,0.0,0,False,25,-1,,-1,
270218833,36941,11788,0,5.0,19.924858845171276,0.0,0,False,25,-1,,-1,
270218838,36962,11790,0,5.0,21.095023109728988,0.0,0,False,25,-1,,-1,
270218842,36987,11795,0,4.0,25.495097567963924,0.0,0,False,25,-1,,-1,
270218847,37012,11796,0,5.0,25.019992006393608,0.0,0,False,25,-1,,-1,
270218852,37038,11799,0,5.0,26.1725046566048,0.0,0,False,25,-1,,-1,
270218857,37061,11801,0,5.0,23.08679276123039,0.0,0,False,25,-1,,-1,
270218862,37082,11803,0,5.0,21.095023109728988,0.0,0,False,25,-1,,-1,
270218867,37098,11804,0,5.0,16.0312195418814,0.0,0,False,25,-1,,-1,
270218872,37098,11805,0,5.0,1.0,0.0,0,False,25,-1,,-1,
270218877,37098,11805,0,5.0,0.0,0.0,0,False,25,-1,,-1,
270218882,37098,11805,0,5.0,0.0,0.0,0,False,25,-1,,-1,
270218887,37098,11805,0,5.0,0.0,0.0,0,False,25,-1,,-1,
270218892,37098,11805,0,5.0,0.0,0.0,0,False,25,-1,,-1,
270218897,37091,11805,0,5.0,7.0,0.0,0,False,25,-1,,-1,
270218902,37062,11802,0,5.0,29.154759474226502,0.0,0,False,25,-1,,-1,
270218907,37009,11798,0,5.0,53.150729063673246,0.0,0,False,25,-1,,-1,
270218912,36937,11795,0,5.0,72.06247289678588,0.0,0,False,25,-1,,-1,
270218917,36881,11790,0,5.0,56.22277118748239,0.0,0,False,25,-1,,-1,
270218922,36829,11785,0,5.0,52.23983154643591,0.0,0,False,25,-1,,-1,
270218927,36782,11779,0,5.0,47.38143096192854,0.0,0,False,25,-1,,-1,
270218932,36738,11774,0,5.0,44.28317965096906,0.0,0,False,25,-1,,-1,
270218937,36691,11769,0,5.0,47.265209192385896,0.0,0,False,25,-1,,-1,
270218942,36641,11767,0,5.0,50.039984012787215,0.0,0,False,25,-1,,-1,
270218947,36599,11763,0,5.0,42.190046219457976,0.0,0,False,25,-1,,-1,
270218952,36564,11760,0,5.0,35.12833614050059,0.0,0,False,25,-1,,-1,
270218957,36538,11757,0,5.0,26.1725046566048,0.0,0,False,25,-1,,-1,
270218962,36538,11756,0,5.0,1.0,0.0,0,False,25,-1,,-1,
270218967,36507,11756,0,5.0,31.0,0.0,0,False,25,-1,,-1,
270218972,36507,11756,0,5.0,0.0,0.0,0,False,25,-1,,-1,
270218977,36481,11756,0,5.0,26.0,0.0,0,False,25,-1,,-1,
270218982,36481,11761,0,5.0,5.0,0.0,0,False,25,-1,,-1,
270218987,36481,11767,0,5.0,6.0,0.0,0,False,25,-1,,-1,
270218992,36478,11775,0,5.0,8.54400374531753,0.0,0,False,25,-1,,-1,
270218997,36471,11789,0,5.0,15.652475842498529,0.0,0,False,25,-1,,-1,
270219002,36455,11800,0,5.0,19.4164878389476,0.0,0,False,25,-1,,-1,
270219007,36440,11812,0,5.0,19.209372712298546,0.0,0,False,25,-1,,-1,
270219011,36426,11824,0,4.0,18.439088914585774,0.0,0,False,25,-1,,-1,
270219016,36411,11836,0,5.0,19.209372712298546,0.0,0,False,25,-1,,-1,
270219021,36390,11848,0,5.0,24.186773244895647,0.0,0,False,25,-1,,-1,
270219026,36368,11859,0,5.0,24.596747752497688,0.0,0,False,25,-1,,-1,
270219031,36343,11869,0,5.0,26.92582403567252,0.0,0,False,25,-1,,-1,
270219036,36313,11878,0,5.0,31.32091952673165,0.0,0,False,25,-1,,-1,
270219041,36276,11887,0,5.0,38.07886552931954,0.0,0,False,25,-1,,-1,
270219046,36232,11894,0,5.0,44.553338819890925,0.0,0,False,25,-1,,-1,
270219051,36181,11901,0,5.0,51.478150704935004,0.0,0,False,25,-1,,-1,
270219056,36124,11907,0,5.0,57.3149195236284,0.0,0,False,25,-1,,-1,
270219061,36077,11915,0,5.0,47.67598976424087,0.0,0,False,25,-1,,-1,
270219066,36028,11919,0,5.0,49.16299421312742,0.0,0,False,25,-1,,-1,
270219071,35976,11923,0,5.0,52.15361924162119,0.0,0,False,25,-1,,-1,
270219076,35923,11928,0,5.0,53.23532661682466,0.0,0,False,25,-1,,-1,
270219081,35876,11932,0,5.0,47.16990566028302,0.0,0,False,25,-1,,-1,
270219086,35831,11936,0,5.0,45.17742799230607,0.0,0,False,25,-1,,-1,
270219091,35788,11943,0,5.0,43.56604182158393,0.0,0,False,25,-1,,-1,
270219096,35748,11948,0,5.0,40.311288741492746,0.0,0,False,25,-1,,-1,
270219101,35711,11954,0,5.0,37.48332962798263,0.0,0,False,25,-1,,-1,
270219106,35677,11964,0,5.0,35.4400902933387,0.0,0,False,25,-1,,-1,
270219111,35646,11973,0,5.0,32.28002478313795,0.0,0,False,25,-1,,-1,
270219116,35619,11987,0,5.0,30.4138126514911,0.0,0,False,25,-1,,-1,
270219121,35595,12003,0,5.0,28.844410203711913,0.0,0,False,25,-1,,-1,
270219126,35574,12023,0,5.0,29.0,0.0,0,False,25,-1,,-1,
270219131,35556,12045,0,5.0,28.42534080710379,0.0,0,False,25,-1,,-1,
270219136,35540,12066,0,5.0,26.40075756488817,0.0,0,False,25,-1,,-1,
270219141,35524,12080,0,5.0,21.2602916254693,0.0,0,False,25,-1,,-1,
270219146,35511,12095,0,5.0,19.849433241279208,0.0,0,False,25,-1,,-1,
270219151,35498,12110,0,5.0,19.849433241279208,0.0,0,False,25,-1,,-1,
270219156,35494,12125,0,5.0,15.524174696260024,0.0,0,False,25,-1,,-1,
270219161,35490,12140,0,5.0,15.524174696260024,0.0,0,False,25,-1,,-1,
